Site/Division,Jira Ticket #,State,Name,Notes,Merge,Legacy URL,New URL,Page Title
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/46fe66af-9713-482b-b75d-a711d590e0a0,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/73534247-d520-4496-9ce0-a5fa6260cdbe,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/0ac5044e-da3c-466d-9a45-46f6caa54411,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/124795a3-570f-4f86-b29d-2fb53e13fc3e,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/68f2d6f0-9d95-43c7-b7fb-c80853e43768,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/79ffa9c9-fc95-4532-b5d9-aefcd6f387ed,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/15c5fd67-35d7-4c86-9a51-97c3ae5053bf,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/c42a8d46-e7bb-40d2-940d-515364d1d07e,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/71f80c92-d7a3-4cc7-a0aa-5dc4a9a9204b,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ad90bd93-5833-4d01-b8f4-087c4ce94857,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/9faaf8e7-1f8a-4cdc-b532-e54fc1c63506,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/fe5cbd19-7546-45b9-bde2-f9e3e2dd6f62,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ab66baaa-1aad-4aaa-b86c-7993ae932075,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/332c684c-1cb1-4576-856e-6c560ebb9f70,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/46e873b5-d020-4232-8abe-4d69aa660c92,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/9a699145-bf8a-470e-8fdc-8572d238b3e6,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ad630918-ae0e-4290-b9f4-f2933ff5f7a9,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/3378c10e-d895-4cf1-a70a-0875536eca13,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/13c89170-aad1-4de4-8ad5-634cc6dc3b48,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/2c4b9544-2e7e-4dc7-9509-da6c52a51752,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/0bbf10a4-376e-489a-8558-3ee321b87aae,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/66b5953f-d2c5-4bae-a2cd-700e5a17735b,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/2de96cf2-3660-4694-ac00-6cc16beb3589,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/470b91aa-e6f7-4fa6-8f96-ae1a95c5df53,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/756b265e-ef1f-40c8-a6a2-930bf9aca734,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/a60743cd-1cca-4f20-bf3b-850c9fc0e27f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/91c2ef9e-7473-4cd9-9dd4-3c1fea26e2fb,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/74cc9fdc-d4d9-4019-ab59-06e525fda7d5,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/e2c3c4d7-0aaa-4910-b492-25d6704e81b8,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/c050df0c-9442-4450-b10d-11ecf8afad36,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/b8d2a553-e43a-4c48-9f24-3734ef2f6f3e,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/88d22df3-209c-436a-9888-a31373b90841,,DCI News
